City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
285,kollam,IN,77.65,overcast clouds,8.8833,76.6,The Raviz Ashtamudi
286,pietroasa,RO,50.49,clear sky,46.5833,22.55,Casa Otilia
289,yurimaguas,PE,73.08,overcast clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
291,general pico,AR,56.79,clear sky,-35.6566,-63.7568,Euskadi Hotel
292,monrovia,LR,75.92,moderate rain,6.3005,-10.7969,Sunset Inn
293,miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
295,mindelo,CV,78.35,scattered clouds,16.8901,-24.9804,Hotel Gaudi
296,kiama,AU,73.26,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
297,grand-santi,GF,74.28,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
298,san quintin,MX,69.13,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
299,tura,IN,78.69,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
300,sinnamary,GF,78.26,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
301,smithers,CA,59.32,broken clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
304,koulikoro,ML,78.62,clear sky,14.0,-7.75,N/A
306,faranah,GN,69.4,clear sky,10.0404,-10.7434,Chez mon oncle
307,black diamond,US,60.44,clear sky,47.3087,-122.0032,Lake Sawyer RV Resort
309,devonport,AU,65.08,clear sky,-41.1667,146.35,Gateway Hotel by Nightcap Plus
310,sabaudia,IT,68.47,clear sky,41.3003,13.0282,Oasi di Kufra
311,laguna,US,75.49,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
312,baruun-urt,MN,51.48,few clouds,46.6806,113.2792,Ахмадын амралт сувилал
313,odweyne,SO,66.83,few clouds,9.4092,45.064,Eng Hiirey House
314,port-gentil,GA,75.74,moderate rain,-0.7193,8.7815,Fengshui Residence
