City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,itarema,BR,-2.9248,-39.9167,78.28,83,44,17.2,scattered clouds
204,elliot lake,CA,46.3834,-82.6331,34.75,96,100,10.0,overcast clouds
205,nioro,GM,13.35,-15.75,72.93,87,100,4.65,overcast clouds
206,tiksi,RU,71.6872,128.8694,12.9,88,100,7.58,overcast clouds
207,cuamba,MZ,-14.8031,36.5372,68.13,68,12,2.8,few clouds
208,orebro,SE,59.2741,15.2066,39.38,75,20,6.91,few clouds
209,coquimbo,CL,-29.9533,-71.3436,53.33,87,0,5.75,clear sky
210,barreirinhas,BR,-2.7469,-42.8264,78.46,80,9,12.71,clear sky
211,dingle,PH,10.9995,122.6711,85.48,74,70,8.23,broken clouds
212,kahului,US,20.8947,-156.47,87.82,68,40,9.22,scattered clouds
213,thiruvananthapuram,IN,8.4833,76.9167,80.58,78,75,4.61,haze
214,maniitsoq,GL,65.4167,-52.9,35.58,99,100,16.15,moderate rain
215,garissa,KE,-0.4536,39.6401,72.28,87,17,10.65,few clouds
216,paciran,ID,-6.8767,112.3761,83.91,70,100,1.95,light rain
217,turayf,SA,31.6725,38.6637,64.65,48,0,6.91,clear sky
218,viedma,AR,-40.8135,-62.9967,54.82,76,21,13.42,few clouds
219,reykjavik,IS,64.1355,-21.8954,41.18,93,100,9.22,drizzle
220,biysk,RU,52.5364,85.2072,37.56,93,99,9.48,overcast clouds
221,touros,BR,-5.1989,-35.4608,77.32,77,32,15.64,scattered clouds
222,fowa,NG,8.9167,6.4,73.45,76,98,1.41,overcast clouds
223,floro,NO,61.5996,5.0328,41.97,87,100,6.91,overcast clouds
224,sur,OM,22.5667,59.5289,82.26,33,100,1.77,overcast clouds
225,faya,SA,18.3851,42.4509,51.91,32,3,4.41,clear sky
226,ulaangom,MN,49.9811,92.0667,40.06,62,80,9.73,broken clouds
227,vila franca do campo,PT,37.7167,-25.4333,63.01,69,77,21.23,light rain
228,victoria,HK,22.2855,114.1577,77.05,51,99,5.01,overcast clouds
229,bafia,CM,4.75,11.2333,67.71,96,100,0.72,overcast clouds
230,mogzon,RU,51.7435,111.9606,42.22,48,6,10.47,clear sky
231,yurginskoye,RU,56.8189,67.3921,40.62,77,100,9.84,overcast clouds
232,dinguiraye,GN,11.3,-10.7167,70.45,83,10,2.82,clear sky
233,avera,US,33.194,-82.5271,46.45,42,0,9.55,clear sky
234,buraydah,SA,26.326,43.975,64.85,15,100,6.62,overcast clouds
235,castro,BR,-24.7911,-50.0119,57.97,99,100,3.65,light rain
236,belmonte,BR,-15.8631,-38.8828,73.4,82,0,5.28,clear sky
237,teguise,ES,29.0605,-13.564,64.62,77,0,2.3,clear sky
238,carutapera,BR,-1.195,-46.02,79.48,79,12,9.71,few clouds
239,chuchkovo,RU,54.2693,41.4465,44.49,89,100,3.4,overcast clouds
240,kaitangata,NZ,-46.2817,169.8464,59.11,44,100,8.5,overcast clouds
241,gazanjyk,TM,39.2446,55.5154,50.29,81,0,6.22,clear sky
242,oksfjord,NO,70.2396,22.3479,41.18,96,100,17.81,light rain
243,katsuura,JP,35.1333,140.3,57.72,82,100,16.08,overcast clouds
244,the valley,AI,18.217,-63.0578,82.26,72,12,13.13,few clouds
245,ulaanbaatar,MN,47.9077,106.8832,33.93,40,75,2.24,broken clouds
246,raudeberg,NO,61.9875,5.1352,40.87,1,80,8.52,broken clouds
247,ancud,CL,-41.8697,-73.8203,47.17,94,15,3.06,few clouds
248,biltine,TD,14.5333,20.9167,77.65,26,0,7.72,clear sky
249,jucas,BR,-6.5253,-39.5275,79.7,58,66,6.02,broken clouds
250,hamilton,US,39.1834,-84.5333,38.98,87,100,18.41,overcast clouds
251,punta alta,AR,-38.8759,-62.0736,62.04,64,83,9.57,broken clouds
252,ribeira grande,PT,38.5167,-28.7,62.78,64,99,7.0,overcast clouds
253,stabat,ID,3.761,98.4513,84.4,62,59,2.91,broken clouds
254,constitucion,CL,-35.3333,-72.4167,49.64,86,2,3.09,clear sky
255,arkadelphia,US,34.1209,-93.0538,43.77,65,0,0.0,clear sky
256,camacupa,AO,-12.0167,17.4833,61.12,85,84,1.28,broken clouds
257,kyra,RU,49.5776,111.9753,46.8,35,55,4.88,broken clouds
258,iwaki,JP,37.05,140.8833,65.01,43,14,5.01,few clouds
259,huarmey,PE,-10.0681,-78.1522,61.72,85,20,8.43,few clouds
260,boende,CD,-0.2167,20.8667,70.25,98,98,1.54,overcast clouds
261,pangody,RU,65.85,74.4859,39.2,93,100,17.52,overcast clouds
262,nieuwpoort,BE,51.1244,2.7735,52.09,90,0,13.8,clear sky
263,pisco,PE,-13.7,-76.2167,59.05,88,100,14.97,overcast clouds
264,udachnyy,RU,66.4167,112.4,17.46,85,91,6.26,overcast clouds
265,klaksvik,FO,62.2266,-6.589,43.72,65,86,5.99,overcast clouds
266,saint anthony,US,45.0205,-93.218,34.14,57,0,5.75,clear sky
267,vila velha,BR,-20.3297,-40.2925,73.35,93,75,4.61,broken clouds
268,glendive,US,47.1053,-104.7125,55.18,55,0,1.99,clear sky
269,mandalgovi,MN,45.7625,106.2708,51.33,19,14,9.13,few clouds
270,bethel,US,41.3712,-73.414,46.76,79,0,4.61,clear sky
271,vung tau,VN,10.346,107.0843,82.17,74,23,11.56,heavy intensity rain
272,solnechnyy,RU,50.7214,136.6319,43.52,36,0,1.05,clear sky
273,tessalit,ML,20.1986,1.0114,77.83,25,8,9.66,clear sky
274,west wendover,US,40.7391,-114.0733,62.56,24,97,2.37,overcast clouds
275,mundi,IN,22.0667,76.5,74.43,67,2,7.47,clear sky
276,moissala,TD,8.3404,17.7663,70.05,94,71,2.51,light rain
277,carnarvon,AU,-24.8667,113.6333,73.96,61,0,10.83,clear sky
278,lavrentiya,RU,65.5833,-171.0,29.55,79,100,7.2,overcast clouds
279,saint-pierre,RE,-21.3393,55.4781,74.57,73,20,5.75,few clouds
280,fairbanks,US,64.8378,-147.7164,37.98,83,40,0.0,scattered clouds
281,saint george,US,37.1041,-113.5841,77.59,25,0,0.0,clear sky
282,mar del plata,AR,-38.0023,-57.5575,59.09,92,0,11.99,clear sky
283,artesia,US,33.8658,-118.0831,83.89,63,0,6.91,clear sky
284,caravelas,BR,-17.7125,-39.2481,72.86,84,51,5.5,broken clouds
285,kollam,IN,8.8833,76.6,77.65,87,100,6.6,overcast clouds
286,pietroasa,RO,46.5833,22.55,50.49,74,4,2.8,clear sky
287,magadan,RU,59.5667,150.8,27.54,52,100,26.66,overcast clouds
288,alyangula,AU,-13.8483,136.4192,86.94,62,9,11.14,clear sky
289,yurimaguas,PE,-5.9,-76.0833,73.08,99,100,1.59,overcast clouds
290,umm lajj,SA,25.0213,37.2685,79.59,62,0,0.94,clear sky
291,general pico,AR,-35.6566,-63.7568,56.79,81,8,6.42,clear sky
292,monrovia,LR,6.3005,-10.7969,75.92,87,72,3.04,moderate rain
293,miri,MY,4.4148,114.0089,78.94,94,40,4.61,scattered clouds
294,rio gallegos,AR,-51.6226,-69.2181,44.65,57,0,2.3,clear sky
295,mindelo,CV,16.8901,-24.9804,78.35,83,40,19.57,scattered clouds
296,kiama,AU,-34.6833,150.8667,73.26,73,78,11.16,broken clouds
297,grand-santi,GF,4.25,-54.3833,74.28,90,93,2.91,overcast clouds
298,san quintin,MX,30.4833,-115.95,69.13,82,49,4.65,scattered clouds
299,tura,IN,25.5198,90.2201,78.69,57,0,3.96,clear sky
300,sinnamary,GF,5.3833,-52.95,78.26,90,100,10.49,overcast clouds
301,smithers,CA,54.7804,-127.1743,59.32,58,75,8.05,broken clouds
302,longyearbyen,SJ,78.2186,15.6401,16.3,73,76,8.99,broken clouds
303,galle,LK,6.0367,80.217,79.05,87,99,14.29,overcast clouds
304,koulikoro,ML,14.0,-7.75,78.62,42,0,4.88,clear sky
305,zheleznogorsk,RU,52.331,35.3711,48.02,77,100,9.64,overcast clouds
306,faranah,GN,10.0404,-10.7434,69.4,86,2,1.39,clear sky
307,black diamond,US,47.3087,-122.0032,60.44,82,0,1.01,clear sky
308,polunochnoye,RU,60.8697,60.4153,35.64,91,100,4.79,overcast clouds
309,devonport,AU,-41.1667,146.35,65.08,62,1,11.74,clear sky
310,sabaudia,IT,41.3003,13.0282,68.47,71,0,3.58,clear sky
311,laguna,US,38.421,-121.4238,75.49,52,0,0.0,clear sky
312,baruun-urt,MN,46.6806,113.2792,51.48,17,13,10.54,few clouds
313,odweyne,SO,9.4092,45.064,66.83,71,24,1.14,few clouds
314,port-gentil,GA,-0.7193,8.7815,75.74,94,100,7.52,moderate rain
315,muros,ES,42.7762,-9.0603,65.08,91,100,23.47,moderate rain
316,kidal,ML,18.4411,1.4078,77.29,25,2,11.23,clear sky
317,kurumkan,RU,54.3,110.3,41.68,72,75,5.68,light rain
318,onega,RU,63.9061,38.1404,38.57,89,95,10.45,overcast clouds
319,nhulunbuy,AU,-12.2333,136.7667,92.01,55,40,9.22,scattered clouds
320,tucuman,AR,-26.8241,-65.2226,59.0,94,100,4.61,overcast clouds
321,yar-sale,RU,66.8333,70.8333,39.16,92,100,15.19,overcast clouds
322,male,MV,4.1748,73.5089,82.35,78,75,16.11,broken clouds
323,san luis,AR,-33.295,-66.3356,54.39,83,100,5.59,overcast clouds
324,qobustan,AZ,40.0824,49.412,60.08,79,42,8.59,scattered clouds
325,mayya,RU,61.7333,130.2811,22.32,87,100,5.1,overcast clouds
326,victorville,US,34.5361,-117.2912,76.42,33,1,8.21,clear sky
327,lapeer,US,43.0514,-83.3188,41.0,80,100,5.75,overcast clouds
328,port keats,AU,-14.25,129.55,90.03,58,92,8.59,overcast clouds
329,souillac,MU,-20.5167,57.5167,70.18,78,75,6.91,broken clouds
330,nichinan,JP,31.6,131.3667,69.48,53,1,9.55,clear sky
331,tadine,NC,-21.55,167.8833,75.65,69,69,14.2,broken clouds
332,aguimes,ES,27.9054,-15.4461,68.63,83,0,11.99,clear sky
333,itacarambi,BR,-15.1022,-44.0919,74.46,48,17,2.57,few clouds
334,mwense,ZM,-10.3845,28.698,66.51,39,72,1.68,broken clouds
335,pachora,IN,20.6667,75.35,79.18,76,73,6.71,broken clouds
